1,Tampa Bay,8.9,9.3,18,8,9.8,5.5
1,Seattle,8.9,5.7,10,8.9,8.9,6.9
3,Baltimore,8.4,5.7,10,10.5,6.4,6.6
4,New Orleans,8.3,10.3,17,7.2,9.3,9.8
5,Detroit,7.9,5,8,8.6,7.1,6.5
6,Philadelphia,7.8,7.3,12,6.5,9.2,6.1
7,Dallas,7.5,3,6,6.6,8.4,7.1
7,San Francisco,7.5,12.3,7,9.6,5.4,6.6
9,Green Bay,7.4,5,8,5,9.9,8.5
10,Pittsburgh,7.3,9.3,21,8.4,6,8.2
10,Kansas City,7.3,3,0,6.8,7.9,6.9
12,Jacksonville,7,6.7,3,4.9,8.5,7.1
13,Las Vegas,6.7,2.3,0,7.7,5.9,8.1
14,Washington,6.4,5.7,0,7.3,5.6,8.3
15,Miami,6.4,7.7,13,8.6,4.7,6.3
16,New England,6.3,9.3,7,7.2,5.2,6.6
17,Atlanta,6.1,5.3,0,5.4,6.7,6.6
18,Houston,6.1,2,0,8.5,3.6,5.6
19,Tennessee,5.8,6.3,7,6.4,5.3,6
20,Carolina,5.6,8,14,4.8,6.4,5.6
21,Minnesota,5.6,4,0,6.8,4.4,6.8
22,Buffalo,5.5,1,0,5.9,5.1,7
23,Chicago,5.2,3.3,3,4,6.4,5
23,Denver,5.2,8.3,14,4.8,5.6,8.9
23,LA Chargers,5.2,0,0,3.5,6.9,4.9
26,LA Rams,4.8,5.7,3,4.8,4.9,4.6
27,Arizona,4.6,4.3,3,5.8,3.5,8.5
28,NY Giants,4.4,1,3,2.4,6.4,5.5
29,Cincinnati,4.3,9,7,4.6,3.9,4.1
30,NY Jets,4.2,3,3,4.6,3.8,5.3
31,Cleveland,3.9,0,0,3.6,4.2,3.8
32,Indianapolis,2.9,3.7,8,2.6,3.1,8.4
